Player,Career Span,Start,End,Matches_Played,Innings_Batted,Not_Outs,Runs_Scored,Highest_Innings_Score,Highest_Innings_Score_Num,Batting_Avg,Balls_Faced,Strike_Rate,100_Scored,50_Scored,Ducks,4sBoundary,6sBoundary,Country,RandX,RandY
EJG Morgan ,2009-2018,2009,2018,77,75,14,1734,85*,85,28.42,1320,131.36,0,9,3,129,77,England,693,461
AD Hales ,2011-2018,2011,2018,57,57,7,1605,116*,116,32.1,1178,136.24,1,8,4,171,52,England,882,603
JC Buttler ,2011-2018,2011,2018,66,58,11,1260,73*,73,26.8,912,138.15,0,7,3,102,53,England,1022,908
KP Pietersen ,2005-2013,2005,2013,37,36,5,1176,79,79,37.93,831,141.51,0,7,1,119,32,England,253,529
JE Root ,2012-2018,2012,2018,28,26,4,787,90*,90,35.77,612,128.59,0,4,1,80,16,England,623,967
LJ Wright ,2007-2014,2007,2014,51,45,5,759,99*,99,18.97,554,137,0,4,9,68,31,England,499,429
JJ Roy ,2014-2018,2014,2018,32,32,0,743,78,78,23.21,512,145.11,0,4,4,75,35,England,673,1075
RS Bopara ,2008-2014,2008,2014,38,35,10,711,65*,65,28.44,599,118.69,0,3,0,54,17,England,175,499
PD Collingwood ,2005-2011,2005,2011,35,33,2,583,79,79,18.8,459,127.01,0,3,3,37,24,England,837,73
MJ Lumb ,2010-2014,2010,2014,27,27,1,552,63,63,21.23,413,133.65,0,3,1,64,21,England,735,959
C Kieswetter ,2010-2012,2010,2012,25,25,1,526,63,63,21.91,470,111.91,0,3,2,47,23,England,906,83
JM Bairstow ,2011-2018,2011,2018,27,22,6,396,60*,60,24.75,315,125.71,0,2,1,33,15,England,923,245
OA Shah ,2007-2009,2007,2009,17,15,1,347,55*,55,24.78,284,122.18,0,1,0,26,13,England,1105,1034
DJ Malan ,2017-2018,2017,2018,5,5,0,250,78,78,50,166,150.6,0,4,0,26,11,England,804,300
MM Ali ,2014-2018,2014,2018,25,22,6,235,72*,72,14.68,198,118.68,0,1,6,21,9,England,406,480
BA Stokes ,2011-2018,2011,2018,23,20,5,232,38,38,15.46,178,130.33,0,0,1,20,9,England,771,860
TT Bresnan ,2006-2014,2006,2014,34,22,9,216,47*,47,16.61,170,127.05,0,0,3,16,6,England,537,387
SW Billings ,2015-2018,2015,2018,17,15,0,205,53,53,13.66,152,134.86,0,1,1,18,8,England,956,505
JM Vince ,2015-2018,2015,2018,7,7,0,194,46,46,27.71,165,117.57,0,0,0,20,5,England,342,113
SR Patel ,2011-2013,2011,2013,18,14,2,189,67,67,15.75,173,109.24,0,1,2,17,5,England,389,1077
IR Bell ,2006-2014,2006,2014,8,8,1,188,60*,60,26.85,163,115.33,0,1,0,23,2,England,561,251
CJ Jordan ,2014-2018,2014,2018,35,23,10,168,27*,27,12.92,144,116.66,0,0,2,12,7,England,1002,726
ME Trescothick ,2005-2006,2005,2006,3,3,0,166,72,72,55.33,131,126.71,0,2,0,23,1,England,686,731
DJ Willey ,2015-2018,2015,2018,24,17,5,152,29*,29,12.66,114,133.33,0,0,1,8,9,England,106,627
IJL Trott ,2007-2010,2007,2010,7,7,1,138,51,51,23,144,95.83,0,1,0,9,3,England,987,1096
MJ Prior ,2007-2010,2007,2010,10,8,2,127,32,32,21.16,100,127,0,0,1,11,5,England,760,857
AD Mascarenhas ,2007-2009,2007,2009,14,13,5,123,31,31,15.37,100,123,0,0,3,8,5,England,507,1041
SCJ Broad ,2006-2014,2006,2014,56,26,10,118,18*,18,7.37,118,100,0,0,2,7,3,England,1079,321
DL Maddy ,2007-2007,2007,2007,4,4,0,113,50,50,28.25,80,141.25,0,1,0,12,3,England,7,1052
GP Swann ,2008-2012,2008,2012,39,16,11,104,34,34,20.8,89,116.85,0,0,2,9,1,England,958,505
SM Davies ,2009-2011,2009,2011,5,5,0,102,33,33,20.4,82,124.39,0,0,0,12,0,England,727,293
MH Yardy ,2006-2011,2006,2011,14,8,5,96,35*,35,32,72,133.33,0,0,3,9,1,England,1089,747
CR Woakes ,2011-2015,2011,2015,8,7,4,91,37,37,30.33,63,144.44,0,0,1,4,5,England,780,1085
A Flintoff ,2005-2007,2005,2007,7,7,1,76,31,31,12.66,60,126.66,0,0,1,7,2,England,775,1040
VS Solanki ,2005-2007,2005,2007,3,3,0,76,43,43,25.33,61,124.59,0,0,0,10,1,England,741,1008
AJ Strauss ,2005-2009,2005,2009,4,4,0,73,33,33,18.25,64,114.06,0,0,1,9,0,England,1060,337
AN Cook ,2007-2009,2007,2009,4,4,0,61,26,26,15.25,54,112.96,0,0,0,10,0,England,625,600
JWM Dalrymple ,2006-2007,2006,2007,3,3,0,60,32,32,20,57,105.26,0,0,0,6,0,England,284,759
P Mustard ,2008-2008,2008,2008,2,2,0,60,40,40,30,37,162.16,0,0,0,5,4,England,20,119
AU Rashid ,2009-2018,2009,2018,33,14,8,47,9*,9,7.83,55,85.45,0,0,0,4,0,England,422,309
LE Plunkett ,2006-2018,2006,2018,20,11,4,42,18,18,6,34,123.52,0,0,3,3,1,England,660,436
JL Denly ,2009-2018,2009,2018,6,6,0,40,20,20,6.66,46,86.95,0,0,2,5,0,England,1110,273
JS Foster ,2009-2009,2009,2009,5,5,2,37,14*,14,12.33,32,115.62,0,0,0,0,1,England,215,935
GO Jones ,2005-2006,2005,2006,2,2,1,33,19,19,33,25,132,0,0,0,5,0,England,720,383
JC Tredwell ,2012-2014,2012,2014,17,6,3,32,22,22,10.66,20,160,0,0,1,4,1,England,601,307
PA Nixon ,2007-2007,2007,2007,1,1,1,31,31*,31,-,22,140.9,0,0,0,2,1,England,930,490
MP Vaughan ,2005-2007,2005,2007,2,2,0,27,27,27,13.5,22,122.72,0,0,1,4,0,England,720,854
JW Dernbach ,2011-2014,2011,2014,34,7,2,24,12,12,4.8,21,114.28,0,0,1,3,0,England,10,723
CP Schofield ,2007-2007,2007,2007,4,4,3,24,9*,9,24,20,120,0,0,0,2,0,England,620,1028
LA Dawson ,2016-2018,2016,2018,6,2,1,17,10,10,17,8,212.5,0,0,0,2,1,England,422,463
LS Livingstone ,2017-2017,2017,2017,2,2,0,16,16,16,8,19,84.21,0,0,1,1,0,England,384,899
SG Borthwick ,2011-2011,2011,2011,1,1,0,14,14,14,14,16,87.5,0,0,0,2,0,England,1021,589
ST Finn ,2011-2015,2011,2015,21,3,3,14,8*,8,-,19,73.68,0,0,0,1,0,England,48,293
CMW Read ,2006-2006,2006,2006,1,1,0,13,13,13,13,11,118.18,0,0,0,2,0,England,504,30
RWT Key ,2009-2009,2009,2009,1,1,1,10,10*,10,-,8,125,0,0,0,0,0,England,165,505
MA Wood ,2015-2018,2015,2018,4,2,2,10,5*,5,-,12,83.33,0,0,0,1,0,England,453,174
TK Curran ,2017-2018,2017,2018,7,3,2,8,6,6,8,6,133.33,0,0,0,0,1,England,184,620
MA Carberry ,2014-2014,2014,2014,1,1,0,7,7,7,7,7,100,0,0,0,1,0,England,901,426
JN Snape ,2007-2007,2007,2007,1,1,0,7,7,7,7,11,63.63,0,0,0,0,0,England,376,778
RJ Sidebottom ,2007-2010,2007,2010,18,1,1,5,5*,5,-,4,125,0,0,0,1,0,England,656,727
GJ Batty ,2009-2009,2009,2009,1,1,0,4,4,4,4,7,57.14,0,0,0,0,0,England,993,664
A Khan ,2009-2009,2009,2009,1,1,0,2,2,2,2,4,50,0,0,0,0,0,England,610,1055
RJ Kirtley ,2007-2007,2007,2007,1,1,1,2,2*,2,-,4,50,0,0,0,0,0,England,655,713
JM Anderson ,2007-2009,2007,2009,19,4,3,1,1*,1,1,2,50,0,0,1,0,0,England,696,124
EC Joyce ,2006-2007,2006,2007,2,1,0,1,1,1,1,3,33.33,0,0,0,0,0,England,504,433
J Lewis ,2005-2007,2005,2007,2,2,1,1,1,1,1,4,25,0,0,0,0,0,England,481,603
SI Mahmood ,2006-2009,2006,2009,4,2,2,1,1*,1,-,2,50,0,0,0,0,0,England,782,827
MS Panesar ,2007-2007,2007,2007,1,1,0,1,1,1,1,2,50,0,0,0,0,0,England,483,709
SD Parry ,2014-2015,2014,2015,5,1,0,1,1,1,1,1,100,0,0,0,0,0,England,10,649
RJW Topley ,2015-2016,2015,2016,6,1,1,1,1*,1,-,2,50,0,0,0,0,0,England,465,34
DR Briggs ,2012-2014,2012,2014,7,1,1,0,0*,0,-,0,-,0,0,0,0,0,England,396,887
TS Mills ,2016-2017,2016,2017,4,1,0,0,0,0,0,2,0,0,0,1,0,0,England,1002,606
A Shahzad ,2010-2011,2010,2011,3,1,1,0,0*,0,-,3,0,0,0,0,0,0,England,923,441
TR Ambrose ,2008-2008,2008,2008,1,-,-,-,-,-,-,-,-,-,-,-,-,-,England,662,379
JT Ball ,2018-2018,2018,2018,2,-,-,-,-,-,-,-,-,-,-,-,-,-,England,706,403
MS Crane ,2017-2017,2017,2017,2,-,-,-,-,-,-,-,-,-,-,-,-,-,England,167,1035
D Gough ,2005-2006,2005,2006,2,-,-,-,-,-,-,-,-,-,-,-,-,-,England,198,256
HF Gurney ,2014-2014,2014,2014,2,-,-,-,-,-,-,-,-,-,-,-,-,-,England,410,755
SJ Harmison ,2005-2006,2005,2006,2,-,-,-,-,-,-,-,-,-,-,-,-,-,England,278,711
SC Meaker ,2012-2012,2012,2012,2,-,-,-,-,-,-,-,-,-,-,-,-,-,England,956,738
WB Rankin ,2013-2013,2013,2013,2,-,-,-,-,-,-,-,-,-,-,-,-,-,England,1022,947
CT Tremlett ,2007-2007,2007,2007,1,-,-,-,-,-,-,-,-,-,-,-,-,-,England,788,414
DA Warner ,2009-2018,2009,2018,70,70,3,1792,90*,90,26.74,1279,140.1,0,13,5,172,79,Australia,1079,659
AJ Finch ,2011-2018,2011,2018,50,50,7,1663,172,172,38.67,1064,156.29,2,9,2,160,79,Australia,775,295
SR Watson ,2006-2016,2006,2016,58,56,6,1462,124*,124,29.24,1006,145.32,1,10,3,115,83,Australia,91,1021
GJ Maxwell ,2012-2018,2012,2018,57,51,8,1345,145*,145,31.27,859,156.57,2,5,1,113,67,Australia,128,1013
CL White ,2007-2014,2007,2014,47,44,14,984,85*,85,32.8,740,132.97,0,5,3,71,44,Australia,1034,802
DJ Hussey ,2008-2012,2008,2012,39,36,3,756,88*,88,22.9,623,121.34,0,3,4,41,34,Australia,166,471
MEK Hussey ,2005-2012,2005,2012,38,30,11,721,60*,60,37.94,529,136.29,0,4,1,58,25,Australia,841,141
DJM Short ,2018-2018,2018,2018,18,18,2,515,76,76,32.18,425,121.17,0,4,1,55,15,Australia,210,351
MJ Clarke ,2005-2010,2005,2010,34,28,5,488,67,67,21.21,473,103.17,0,1,2,29,10,Australia,272,510
GJ Bailey ,2012-2016,2012,2016,29,25,7,470,63,63,26.11,334,140.71,0,2,1,37,20,Australia,647,1029
SPD Smith ,2010-2016,2010,2016,30,25,5,431,90,90,21.55,352,122.44,0,2,1,34,11,Australia,86,208
BJ Haddin ,2006-2014,2006,2014,34,29,6,402,47,47,17.47,351,114.52,0,0,2,30,13,Australia,547,514
RT Ponting ,2005-2009,2005,2009,17,16,2,401,98*,98,28.64,302,132.78,0,2,2,41,11,Australia,1003,383
A Symonds ,2005-2009,2005,2009,14,11,4,337,85*,85,48.14,199,169.34,0,2,2,33,10,Australia,950,132
TM Head ,2016-2018,2016,2018,16,15,3,319,48*,48,26.58,245,130.2,0,0,0,19,10,Australia,1090,899
ML Hayden ,2005-2007,2005,2007,9,9,3,308,73*,73,51.33,214,143.92,0,4,0,37,13,Australia,7,957
CA Lynn ,2014-2018,2014,2018,18,16,1,291,44,44,19.4,221,131.67,0,0,1,28,14,Australia,111,622
AC Gilchrist ,2005-2008,2005,2008,13,13,1,272,48,48,22.66,192,141.66,0,0,0,27,13,Australia,648,785
SE Marsh ,2008-2016,2008,2016,15,15,1,255,47*,47,18.21,248,102.82,0,0,2,15,10,Australia,843,965
UT Khawaja ,2016-2016,2016,2016,9,9,0,241,58,58,26.77,182,132.41,0,1,0,31,5,Australia,302,327
MS Wade ,2011-2016,2011,2016,26,17,5,239,72,72,19.91,218,109.63,0,1,0,11,9,Australia,811,129
BJ Hodge ,2007-2014,2007,2014,15,11,4,183,36,36,26.14,144,127.08,0,0,0,9,7,Australia,95,329
MR Marsh ,2011-2018,2011,2018,11,11,3,175,36,36,21.87,151,115.89,0,0,0,7,9,Australia,684,960
JP Faulkner ,2012-2017,2012,2017,24,18,7,159,41*,41,14.45,138,115.21,0,0,0,7,5,Australia,46,201
MC Henriques ,2009-2017,2009,2017,11,8,3,159,62*,62,31.8,122,130.32,0,2,0,8,7,Australia,254,392
NM Coulter-Nile ,2013-2018,2013,2018,26,14,4,146,34,34,14.6,112,130.35,0,0,3,10,10,Australia,164,259
M Klinger ,2017-2017,2017,2017,3,3,0,143,62,62,47.66,112,127.67,0,1,0,12,2,Australia,764,350
AC Voges ,2007-2013,2007,2013,7,5,2,139,51,51,46.33,114,121.92,0,1,0,8,2,Australia,702,1096
MP Stoinis ,2015-2018,2015,2018,17,12,5,128,33*,33,18.28,101,126.73,0,0,1,13,2,Australia,605,1013
AT Carey ,2018-2018,2018,2018,19,13,4,125,37*,37,13.88,101,123.76,0,0,0,10,4,Australia,194,672
DR Martyn ,2005-2006,2005,2006,4,4,0,120,96,96,30,74,162.16,0,1,0,11,5,Australia,408,776
MG Johnson ,2007-2013,2007,2013,30,17,7,109,28*,28,10.9,95,114.73,0,0,2,8,3,Australia,1008,843
JR Hopes ,2005-2010,2005,2010,12,7,2,105,30,30,21,98,107.14,0,0,0,7,1,Australia,272,873
B Lee ,2005-2012,2005,2012,25,12,6,101,43*,43,16.83,71,142.25,0,0,2,9,4,Australia,961,364
BR Dunk ,2014-2017,2014,2017,5,5,0,99,32,32,19.8,69,143.47,0,0,0,8,6,Australia,924,428
AC Agar ,2016-2018,2016,2018,15,7,1,82,29,29,13.66,79,103.79,0,0,0,6,3,Australia,844,536
BR McDermott ,2018-2018,2018,2018,8,8,3,72,32*,32,14.4,76,94.73,0,0,2,5,2,Australia,847,803
SM Katich ,2005-2006,2005,2006,3,2,0,69,39,39,34.5,47,146.8,0,0,0,8,2,Australia,347,518
AJ Tye ,2016-2018,2016,2018,26,11,5,61,20,20,10.16,55,110.9,0,0,2,4,3,Australia,868,1095
GB Hogg ,2006-2014,2006,2014,15,4,0,55,41,41,13.75,39,141.02,0,0,0,3,3,Australia,851,317
TD Paine ,2009-2017,2009,2017,10,7,1,47,21,21,7.83,40,117.5,0,0,2,4,2,Australia,671,834
L Ronchi ,2008-2009,2008,2009,3,2,0,47,36,36,23.5,27,174.07,0,0,0,8,1,Australia,624,385
JW Hastings ,2010-2016,2010,2016,9,6,2,46,15,15,11.5,37,124.32,0,0,0,3,1,Australia,279,426
NJ Maddinson ,2013-2018,2013,2018,6,4,0,45,34,34,11.25,35,128.57,0,0,0,6,1,Australia,226,414
BCJ Cutting ,2013-2014,2013,2014,4,3,0,35,29,29,11.66,23,152.17,0,0,1,1,3,Australia,488,625
SNJ O'Keefe (2010-2011),2010-2011,2010,2011,7,5,0,32,22,22,6.4,26,123.07,0,0,0,4,1,Australia,1073,503
TR Birt ,2010-2012,2010,2012,4,3,0,31,17,17,10.33,33,93.93,0,0,0,3,1,Australia,261,298
PJ Cummins ,2011-2017,2011,2017,18,10,3,28,13,13,4,34,82.35,0,0,2,1,1,Australia,747,595
DT Christian ,2010-2017,2010,2017,16,7,3,27,9,9,6.75,28,96.42,0,0,1,2,0,Australia,923,491
AJ Turner ,2017-2017,2017,2017,3,3,0,26,18,18,8.66,21,123.8,0,0,0,1,0,Australia,128,60
PM Nevill ,2016-2016,2016,2016,9,5,4,25,10*,10,25,11,227.27,0,0,0,1,2,Australia,897,783
JN Gillespie ,2005-2005,2005,2005,1,1,0,24,24,24,24,18,133.33,0,0,0,4,0,Australia,773,439
A Zampa ,2016-2018,2016,2018,20,6,4,23,9,9,11.5,26,88.46,0,0,0,2,0,Australia,495,804
MJ North ,2009-2009,2009,2009,1,1,0,20,20,20,20,21,95.23,0,0,0,1,0,Australia,429,110
CJ McKay ,2010-2013,2010,2013,6,4,2,19,7,7,9.5,22,86.36,0,0,1,1,1,Australia,542,735
XJ Doherty ,2012-2013,2012,2013,11,4,3,18,9*,9,18,17,105.88,0,0,0,1,0,Australia,855,589
CJ Ferguson ,2009-2009,2009,2009,3,3,0,16,8,8,5.33,19,84.21,0,0,1,1,0,Australia,834,1004
DP Nannes ,2009-2010,2009,2010,15,4,3,16,12*,12,16,11,145.45,0,0,0,1,1,Australia,562,33
BJ Rohrer ,2013-2013,2013,2013,1,1,0,16,16,16,16,14,114.28,0,0,0,0,1,Australia,63,485
NW Bracken ,2006-2009,2006,2009,19,6,3,15,4*,4,5,22,68.18,0,0,1,1,0,Australia,633,1058
LA Pomersbach ,2007-2007,2007,2007,1,1,0,15,15,15,15,7,214.28,0,0,0,1,1,Australia,408,261
MA Starc ,2012-2018,2012,2018,23,6,2,12,4,4,3,18,66.66,0,0,0,0,0,Australia,217,54
SW Tait ,2007-2016,2007,2016,21,6,2,11,6,6,2.75,15,73.33,0,0,1,0,1,Australia,558,754
KW Richardson ,2014-2018,2014,2018,9,2,0,9,9,9,4.5,8,112.5,0,0,1,0,0,Australia,456,831
B Stanlake ,2017-2018,2017,2018,17,2,1,9,7,7,9,12,75,0,0,0,0,1,Australia,797,984
NM Hauritz ,2009-2009,2009,2009,3,2,0,6,4,4,3,10,60,0,0,0,1,0,Australia,862,821
PJ Hughes ,2014-2014,2014,2014,1,1,0,6,6,6,6,8,75,0,0,0,1,0,Australia,19,213
JA Richardson ,2017-2018,2017,2018,7,2,1,6,6*,6,6,3,200,0,0,1,1,0,Australia,295,1018
SA Abbott ,2014-2014,2014,2014,3,1,0,5,5,5,5,8,62.5,0,0,0,1,0,Australia,779,522
GD McGrath ,2005-2005,2005,2005,2,1,0,5,5,5,5,12,41.66,0,0,0,0,0,Australia,433,1109
JL Pattinson ,2011-2012,2011,2012,4,2,2,5,5*,5,-,3,166.66,0,0,0,1,0,Australia,490,331
CJ Boyce ,2014-2016,2014,2016,7,2,1,4,3,3,4,7,57.14,0,0,0,0,0,Australia,527,976
NM Lyon ,2016-2018,2016,2018,2,1,1,4,4*,4,-,4,100,0,0,0,0,0,Australia,204,301
JM Muirhead ,2014-2014,2014,2014,5,2,1,4,3,3,4,8,50,0,0,0,0,0,Australia,1071,540
NJ Reardon ,2014-2014,2014,2014,2,1,0,4,4,4,4,8,50,0,0,0,0,0,Australia,608,481
Fawad Ahmed ,2013-2013,2013,2013,2,1,1,3,3*,3,-,5,60,0,0,0,0,0,Australia,771,593
MS Kasprowicz ,2005-2005,2005,2005,2,1,1,3,3*,3,-,5,60,0,0,0,0,0,Australia,373,848
MJ Swepson ,2018-2018,2018,2018,1,1,1,3,3*,3,-,4,75,0,0,0,0,0,Australia,953,187
RJ Harris ,2010-2010,2010,2010,3,1,1,2,2*,2,-,1,200,0,0,0,0,0,Australia,242,475
BW Hilfenhaus ,2007-2012,2007,2012,7,3,1,2,2,2,1,10,20,0,0,1,0,0,Australia,224,250
DE Bollinger ,2011-2014,2011,2014,9,2,2,1,1*,1,-,1,100,0,0,0,0,0,Australia,938,185
PM Siddle ,2009-2010,2009,2010,2,1,1,1,1*,1,-,1,100,0,0,0,0,0,Australia,799,1077
JD Wildermuth ,2018-2018,2018,2018,2,1,1,1,1*,1,-,1,100,0,0,0,0,0,Australia,234,24
CT Bancroft ,2016-2016,2016,2016,1,1,1,0,0*,0,-,0,-,0,0,0,0,0,Australia,69,388
SM Harwood ,2007-2009,2007,2009,3,1,1,0,0*,0,-,0,-,0,0,0,0,0,Australia,665,137
AA Noffke ,2007-2008,2007,2008,2,1,0,0,0,0,0,0,-,0,0,1,0,0,Australia,591,593
JP Behrendorff ,2017-2018,2017,2018,5,-,-,-,-,-,-,-,-,-,-,-,-,-,Australia,233,132
SM Boland ,2016-2016,2016,2016,3,-,-,-,-,-,-,-,-,-,-,-,-,-,Australia,537,1093
SR Clark ,2006-2007,2006,2007,9,-,-,-,-,-,-,-,-,-,-,-,-,-,Australia,593,213
B Geeves ,2009-2009,2009,2009,1,-,-,-,-,-,-,-,-,-,-,-,-,-,Australia,197,709
JR Hazlewood ,2013-2016,2013,2016,7,-,-,-,-,-,-,-,-,-,-,-,-,-,Australia,891,152
B Laughlin ,2009-2013,2009,2013,3,-,-,-,-,-,-,-,-,-,-,-,-,-,Australia,771,18
ML Lewis ,2006-2006,2006,2006,2,-,-,-,-,-,-,-,-,-,-,-,-,-,Australia,14,430
JP Duminy ,2007-2018,2007,2018,78,72,23,1858,96*,96,37.91,1494,124.36,0,11,6,133,66,South Africa,87,261
AB de Villiers ,2006-2017,2006,2017,78,75,11,1672,79*,79,26.12,1237,135.16,0,10,5,140,60,South Africa,763,1018
F du Plessis ,2012-2018,2012,2018,39,39,6,1202,119,119,36.42,893,134.6,1,7,0,113,37,South Africa,844,71
HM Amla ,2009-2018,2009,2018,41,41,5,1158,97*,97,32.16,883,131.14,0,7,2,133,23,South Africa,186,990
DA Miller ,2010-2018,2010,2018,61,54,16,1112,101*,101,29.26,802,138.65,1,1,0,77,48,South Africa,735,361
GC Smith ,2005-2011,2005,2011,33,33,2,982,89*,89,31.67,770,127.53,0,5,1,123,26,South Africa,486,573
Q de Kock ,2012-2018,2012,2018,35,35,4,874,59,59,28.19,681,128.34,0,2,3,101,27,South Africa,582,731
JH Kallis ,2005-2012,2005,2012,25,23,4,666,73,73,35.05,558,119.35,0,5,0,56,20,South Africa,548,696
JA Morkel ,2005-2015,2005,2015,50,38,11,572,43,43,21.18,402,142.28,0,0,1,29,39,South Africa,537,1066
F Behardien ,2012-2018,2012,2018,38,30,14,518,64*,64,32.37,404,128.21,0,1,1,37,16,South Africa,63,399
HH Gibbs ,2005-2010,2005,2010,23,23,1,400,90*,90,18.18,318,125.78,0,3,4,45,12,South Africa,246,647
RR Rossouw ,2014-2016,2014,2016,15,14,3,327,78,78,29.72,237,137.97,0,2,2,29,12,South Africa,382,683
LE Bosman ,2006-2010,2006,2010,14,14,1,323,94,94,24.84,219,147.48,0,3,2,27,20,South Africa,266,475
RR Hendricks ,2014-2018,2014,2018,14,14,0,313,70,70,22.35,270,115.92,0,1,2,36,4,South Africa,74,244
MV Boucher ,2005-2010,2005,2010,25,21,6,268,36*,36,17.86,275,97.45,0,0,0,22,2,South Africa,730,442
RE Levi ,2012-2012,2012,2012,13,13,2,236,117*,117,21.45,167,141.31,1,1,3,20,15,South Africa,588,481
MN van Wyk ,2007-2015,2007,2015,8,7,1,225,114*,114,37.5,157,143.31,1,1,0,19,14,South Africa,1072,909
CA Ingram ,2010-2012,2010,2012,9,9,1,210,78,78,26.25,162,129.62,0,1,1,23,7,South Africa,551,411
JM Kemp ,2005-2007,2005,2007,8,7,3,203,89*,89,50.75,160,126.87,0,1,0,17,10,South Africa,767,139
J Botha ,2006-2012,2006,2012,40,20,9,201,34,34,18.27,165,121.81,0,0,1,15,9,South Africa,145,892
H Davids ,2012-2013,2012,2013,9,9,0,161,68,68,17.88,134,120.14,0,2,2,18,4,South Africa,193,132
JL Ontong ,2008-2015,2008,2015,14,10,0,158,48,48,15.8,109,144.95,0,0,1,6,11,South Africa,765,1088
H Klaasen ,2018-2018,2018,2018,6,6,0,144,69,69,24,85,169.41,0,1,0,8,11,South Africa,307,353
JT Smuts ,2017-2018,2017,2018,8,8,0,126,45,45,15.75,114,110.52,0,0,1,14,5,South Africa,1004,716
RJ Peterson ,2006-2014,2006,2014,21,12,4,124,34,34,15.5,113,109.73,0,0,1,13,2,South Africa,923,566
WD Parnell ,2009-2017,2009,2017,40,13,9,114,29*,29,28.5,96,118.75,0,0,0,10,3,South Africa,76,383
M Mosehle ,2017-2017,2017,2017,7,6,1,105,36,36,21,65,161.53,0,0,0,6,9,South Africa,1035,657
D Wiese ,2013-2016,2013,2016,20,11,4,92,28,28,13.14,75,122.66,0,0,1,4,3,South Africa,847,756
SM Pollock ,2005-2008,2005,2008,12,9,2,86,36*,36,12.28,70,122.85,0,0,3,4,4,South Africa,902,855
