Player,Career Span,Start,End,Matches_Played,Innings_Batted,Not_Outs,Runs_Scored,Highest_Innings_Score,Highest_Innings_Score_Num,Batting_Avg,Balls_Faced,Strike_Rate,100_Scored,50_Scored,Ducks,4sBoundary,6sBoundary,Country
Shafiul Islam ,2010-2017,2010,2017,12,5,1,19,16,16,4.75,27,70.37,0,0,1,1,1,Bangladesh
Nazmul Islam ,2018-2018,2018,2018,13,4,3,18,7,7,18,17,105.88,0,0,0,2,0,Bangladesh
Rubel Hossain ,2009-2018,2009,2018,27,14,9,17,8*,8,3.4,30,56.66,0,0,4,1,0,Bangladesh
Mehrab Hossain jnr ,2008-2009,2008,2009,2,2,1,16,10,10,16,25,64,0,0,0,1,0,Bangladesh
Abul Hasan ,2012-2018,2012,2018,5,2,0,14,9,9,7,11,127.27,0,0,0,2,0,Bangladesh
Mohammad Rafique ,2006-2006,2006,2006,1,1,0,13,13,13,13,5,260,0,0,0,3,0,Bangladesh
Mahedi Hasan ,2018-2018,2018,2018,1,1,0,11,11,11,11,11,100,0,0,0,1,0,Bangladesh
Zakir Hasan ,2018-2018,2018,2018,1,1,0,10,10,10,10,9,111.11,0,0,0,1,0,Bangladesh
Elias Sunny ,2012-2012,2012,2012,7,4,2,9,5,5,4.5,9,100,0,0,0,1,0,Bangladesh
Shahadat Hossain ,2006-2013,2006,2013,6,5,3,8,4*,4,4,12,66.66,0,0,1,0,0,Bangladesh
Al-Amin Hossain ,2013-2016,2013,2016,25,5,3,7,5*,5,3.5,12,58.33,0,0,1,1,0,Bangladesh
Syed Rasel ,2007-2008,2007,2008,8,3,1,7,6,6,3.5,9,77.77,0,0,0,1,0,Bangladesh
Nazmus Sadat ,2006-2006,2006,2006,1,1,0,4,4,4,4,3,133.33,0,0,0,0,0,Bangladesh
Abu Jayed ,2018-2018,2018,2018,3,2,0,3,2,2,1.5,7,42.85,0,0,0,0,0,Bangladesh
Nazmul Hossain ,2009-2012,2009,2012,4,2,2,3,3*,3,-,15,20,0,0,0,0,0,Bangladesh
Dhiman Ghosh ,2008-2008,2008,2008,1,1,0,1,1,1,1,2,50,0,0,0,0,0,Bangladesh
Sohrawordi Shuvo ,2010-2010,2010,2010,1,1,1,1,1*,1,-,3,33.33,0,0,0,0,0,Bangladesh
Afif Hossain ,2018-2018,2018,2018,1,1,0,0,0,0,0,2,0,0,0,1,0,0,Bangladesh
Jubair Hossain ,2015-2015,2015,2015,1,-,-,-,-,-,-,-,-,-,-,-,-,-,Bangladesh
Mohammad Shahid ,2016-2016,2016,2016,1,-,-,-,-,-,-,-,-,-,-,-,-,-,Bangladesh
Robiul Islam ,2013-2013,2013,2013,1,-,-,-,-,-,-,-,-,-,-,-,-,-,Bangladesh
Sajedul Islam ,2013-2013,2013,2013,1,-,-,-,-,-,-,-,-,-,-,-,-,-,Bangladesh
Saqlain Sajib ,2016-2016,2016,2016,1,-,-,-,-,-,-,-,-,-,-,-,-,-,Bangladesh
Shaiman Anwar ,2014-2018,2014,2018,27,27,2,788,117*,117,31.52,660,119.39,1,4,1,62,31,U.A.E.
Rohan Mustafa ,2014-2018,2014,2018,25,24,1,411,77,77,17.86,344,119.47,0,2,3,43,15,U.A.E.
Muhammad Usman ,2016-2017,2016,2017,19,18,3,382,58,58,25.46,349,109.45,0,1,1,39,11,U.A.E.
Mohammad Shahzad ,2015-2017,2015,2017,20,20,2,281,52,52,15.61,239,117.57,0,1,2,25,11,U.A.E.
Amjad Javed ,2014-2017,2014,2017,22,18,3,271,76,76,18.06,242,111.98,0,1,1,17,15,U.A.E.
Rameez Shahzad ,2016-2018,2016,2018,9,9,2,218,49,49,31.14,189,115.34,0,0,1,17,6,U.A.E.
SP Patil ,2014-2016,2014,2016,18,13,0,187,37,37,14.38,218,85.77,0,0,3,16,4,U.A.E.
Mohammad Naveed ,2015-2018,2015,2018,23,19,9,164,27*,27,16.4,128,128.12,0,0,2,16,8,U.A.E.
Muhammad Kaleem ,2016-2016,2016,2016,9,9,0,97,50,50,10.77,116,83.62,0,1,1,9,3,U.A.E.
Faizan Asif ,2014-2015,2014,2015,6,6,0,80,28,28,13.33,64,125,0,0,0,9,3,U.A.E.
Khurram Khan ,2014-2014,2014,2014,3,3,0,73,31,31,24.33,73,100,0,0,0,8,0,U.A.E.
Ghulam Shabber ,2016-2018,2016,2018,9,6,2,58,20,20,14.5,50,116,0,0,0,5,2,U.A.E.
Amjad Ali ,2014-2015,2014,2015,5,5,1,42,20,20,10.5,52,80.76,0,0,0,6,0,U.A.E.
Ahmed Raza ,2014-2018,2014,2018,22,8,4,41,12,12,10.25,72,56.94,0,0,1,0,1,U.A.E.
Mohammed Qasim ,2016-2017,2016,2017,3,3,1,36,13*,13,18,51,70.58,0,0,0,2,0,U.A.E.
Abdul Shakoor ,2015-2015,2015,2015,4,3,1,28,20*,20,14,34,82.35,0,0,0,2,0,U.A.E.
Amjad Gul ,2015-2016,2015,2016,4,3,0,28,24,24,9.33,30,93.33,0,0,0,3,1,U.A.E.
Umair Ali ,2015-2015,2015,2015,3,3,2,22,13,13,22,18,122.22,0,0,0,2,1,U.A.E.
Kamran Shazad ,2014-2014,2014,2014,3,2,0,21,21,21,10.5,17,123.52,0,0,1,1,2,U.A.E.
Fahad Tariq ,2016-2016,2016,2016,6,5,1,19,16,16,4.75,24,79.16,0,0,2,1,1,U.A.E.
EHSN Silva ,2014-2014,2014,2014,2,2,1,16,13*,13,16,22,72.72,0,0,0,1,0,U.A.E.
Saqlain Haider ,2016-2016,2016,2016,6,5,1,14,7,7,3.5,35,40,0,0,0,0,0,U.A.E.
Chirag Suri ,2018-2018,2018,2018,1,1,0,13,13,13,13,20,65,0,0,0,1,0,U.A.E.
Usman Mushtaq ,2016-2016,2016,2016,3,2,1,13,9,9,13,24,54.16,0,0,0,1,0,U.A.E.
Fayyaz Ahmed ,2015-2015,2015,2015,1,1,0,11,11,11,11,12,91.66,0,0,0,2,0,U.A.E.
V Shetty ,2014-2014,2014,2014,2,2,1,11,10,10,11,13,84.61,0,0,0,1,0,U.A.E.
Adnan Mufti ,2017-2017,2017,2017,1,1,1,7,7*,7,-,7,100,0,0,0,0,0,U.A.E.
Qadeer Ahmed ,2015-2016,2015,2016,8,4,3,7,5*,5,7,12,58.33,0,0,1,1,0,U.A.E.
Farhan Ahmed ,2016-2016,2016,2016,3,1,0,4,4,4,4,8,50,0,0,0,0,0,U.A.E.
Mohammad Tauqir ,2015-2015,2015,2015,3,2,1,4,4,4,4,6,66.66,0,0,0,1,0,U.A.E.
AM Guruge ,2014-2015,2014,2015,5,3,2,3,1*,1,3,8,37.5,0,0,0,0,0,U.A.E.
Zaheer Maqsood ,2015-2016,2015,2016,3,1,0,2,2,2,2,5,40,0,0,0,0,0,U.A.E.
Muhammed Shanil ,2016-2016,2016,2016,1,1,1,1,1*,1,-,3,33.33,0,0,0,0,0,U.A.E.
Ashfaq Ahmed ,2018-2018,2018,2018,1,1,0,0,0,0,0,3,0,0,0,1,0,0,U.A.E.
L Sreekumar ,2017-2017,2017,2017,1,1,0,0,0,0,0,1,0,0,0,1,0,0,U.A.E.
Amir Hayat ,2018-2018,2018,2018,1,-,-,-,-,-,-,-,-,-,-,-,-,-,U.A.E.
Atif Ali Khan ,2016-2016,2016,2016,1,-,-,-,-,-,-,-,-,-,-,-,-,-,U.A.E.
Imran Haider ,2016-2018,2016,2018,6,-,-,-,-,-,-,-,-,-,-,-,-,-,U.A.E.
Nasir Aziz ,2015-2015,2015,2015,1,-,-,-,-,-,-,-,-,-,-,-,-,-,U.A.E.
Sharif Asadullah ,2014-2014,2014,2014,1,-,-,-,-,-,-,-,-,-,-,-,-,-,U.A.E.
Sultan Ahmed ,2017-2017,2017,2017,2,-,-,-,-,-,-,-,-,-,-,-,-,-,U.A.E.
Zahoor Khan ,2017-2018,2017,2018,4,-,-,-,-,-,-,-,-,-,-,-,-,-,U.A.E.
PR Stirling ,2009-2018,2009,2018,52,51,4,1181,81,81,25.12,869,135.9,0,8,7,143,39,Ireland
GC Wilson ,2008-2018,2008,2018,61,54,7,1095,65*,65,23.29,1035,105.79,0,3,4,96,18,Ireland
WTS Porterfield ,2008-2018,2008,2018,61,59,6,1079,72,72,20.35,971,111.12,0,3,5,120,23,Ireland
KJ O'Brien (2008-2018),2008-2018,2008,2018,67,60,10,775,42*,42,15.5,655,118.32,0,0,9,50,33,Ireland
NJ O'Brien (2008-2016),2008-2016,2008,2016,30,28,2,466,50,50,17.92,475,98.1,0,1,0,40,7,Ireland
EC Joyce ,2012-2014,2012,2014,16,14,3,404,78*,78,36.72,428,94.39,0,1,0,30,5,Ireland
DT Johnston ,2008-2013,2008,2013,30,19,7,249,62,62,20.75,184,135.32,0,1,1,13,11,Ireland
SR Thompson ,2014-2018,2014,2018,28,22,5,232,56,56,13.64,175,132.57,0,1,1,20,10,Ireland
JF Mooney ,2009-2015,2009,2015,27,23,9,231,31*,31,16.5,214,107.94,0,0,0,25,1,Ireland
AR Cusack ,2008-2015,2008,2015,37,21,6,229,65,65,15.26,177,129.37,0,1,1,17,6,Ireland
AD Poynter ,2012-2016,2012,2016,19,14,3,219,57,57,19.9,184,119.02,0,1,1,21,8,Ireland
A Balbirnie ,2015-2018,2015,2018,16,13,0,189,74,74,14.53,175,108,0,1,2,23,1,Ireland
SW Poynter ,2015-2018,2015,2018,19,16,2,170,39,39,12.14,162,104.93,0,0,0,17,3,Ireland
AR White ,2008-2012,2008,2012,18,12,6,137,29,29,22.83,128,107.03,0,0,0,12,2,Ireland
AC Botha ,2008-2010,2008,2010,14,11,1,130,38,38,13,141,92.19,0,0,2,12,1,Ireland
GH Dockrell ,2010-2018,2010,2018,54,21,8,125,22*,22,9.61,121,103.3,0,0,3,5,3,Ireland
Simi Singh ,2018-2018,2018,2018,8,8,1,123,57*,57,17.57,96,128.12,0,1,3,10,4,Ireland
JNK Shannon ,2013-2018,2013,2018,8,8,0,111,60,60,13.87,84,132.14,0,1,1,12,5,Ireland
MC Sorensen ,2012-2016,2012,2016,26,11,6,92,26,26,18.4,79,116.45,0,0,1,4,3,Ireland
GJ Thompson ,2016-2017,2016,2017,8,7,1,75,44,44,12.5,78,96.15,0,0,2,9,1,Ireland
AR McBrine ,2014-2017,2014,2017,19,11,5,73,14*,14,12.16,70,104.28,0,0,1,6,1,Ireland
WB Rankin ,2009-2018,2009,2018,28,9,5,53,16*,16,13.25,58,91.37,0,0,0,2,3,Ireland
DA Rankin ,2015-2016,2015,2016,2,2,0,49,34,34,24.5,54,90.74,0,0,0,3,2,Ireland
L Tucker ,2016-2017,2016,2017,4,4,0,43,16,16,10.75,42,102.38,0,0,0,4,1,Ireland
NG Jones ,2010-2012,2010,2012,5,4,2,42,14*,14,21,38,110.52,0,0,1,1,2,Ireland
TE Kane ,2015-2018,2015,2018,6,3,1,36,26*,26,18,23,156.52,0,0,0,5,0,Ireland
TJ Murtagh ,2012-2016,2012,2016,14,5,3,26,12*,12,13,25,104,0,0,0,0,1,Ireland
J Anderson ,2015-2015,2015,2015,4,2,0,12,9,9,6,18,66.66,0,0,0,1,0,Ireland
WK McCallan ,2008-2009,2008,2009,9,3,2,11,9*,9,11,15,73.33,0,0,1,1,0,Ireland
BJ McCarthy ,2017-2018,2017,2018,6,3,1,11,11*,11,5.5,7,157.14,0,0,2,0,1,Ireland
RM West ,2009-2009,2009,2009,5,4,1,11,8,8,3.66,11,100,0,0,0,1,0,Ireland
PKD Chase ,2018-2018,2018,2018,6,4,3,7,4,4,7,13,53.84,0,0,0,1,0,Ireland
J Mulder ,2016-2017,2016,2017,8,4,2,6,5*,5,3,11,54.54,0,0,1,0,0,Ireland
R Strydom ,2008-2008,2008,2008,4,2,1,6,5*,5,6,7,85.71,0,0,0,0,0,Ireland
PC Connell ,2008-2010,2008,2010,9,3,2,4,3*,3,4,7,57.14,0,0,1,0,0,Ireland
SP Terry ,2016-2016,2016,2016,1,1,0,4,4,4,4,6,66.66,0,0,0,0,0,Ireland
CA Young ,2015-2018,2015,2018,16,3,2,4,2*,2,4,7,57.14,0,0,0,0,0,Ireland
JP Bray ,2009-2009,2009,2009,2,2,0,2,2,2,1,17,11.76,0,0,1,0,0,Ireland
GE Kidd ,2010-2010,2010,2010,1,1,1,1,1*,1,-,1,100,0,0,0,0,0,Ireland
J Little ,2016-2018,2016,2018,4,3,1,1,1*,1,0.5,7,14.28,0,0,2,0,0,Ireland
RD McCann ,2012-2012,2012,2012,3,1,0,1,1,1,1,2,50,0,0,0,0,0,Ireland
PS Eaglestone ,2010-2010,2010,2010,1,-,-,-,-,-,-,-,-,-,-,-,-,-,Ireland
GJ McCarter ,2015-2015,2015,2015,3,-,-,-,-,-,-,-,-,-,-,-,-,-,Ireland
KJ Coetzer ,2008-2018,2008,2018,45,43,2,1035,70,70,25.24,856,120.91,0,3,2,106,32,Scotland
RD Berrington ,2008-2018,2008,2018,46,39,7,867,100,100,27.09,696,124.56,1,2,5,86,19,Scotland
CS MacLeod ,2009-2018,2009,2018,34,33,5,602,60,60,21.5,562,107.11,0,4,3,47,13,Scotland
MH Cross ,2013-2018,2013,2018,29,23,2,485,60,60,23.09,371,130.72,0,2,1,49,16,Scotland
HG Munsey ,2015-2018,2015,2018,23,21,2,461,71,71,24.26,324,142.28,0,2,4,67,11,Scotland
PL Mommsen ,2012-2016,2012,2016,24,19,7,419,68*,68,34.91,329,127.35,0,2,1,32,11,Scotland
MW Machan ,2013-2016,2013,2016,13,13,3,407,67*,67,40.7,318,127.98,0,3,0,37,7,Scotland
RR Watson ,2007-2010,2007,2010,10,9,0,159,54,54,17.66,141,112.76,0,1,1,22,1,Scotland
MA Leask ,2013-2018,2013,2018,20,13,1,158,58,58,13.16,133,118.79,0,1,1,11,8,Scotland
DF Watts ,2007-2012,2007,2012,11,9,0,137,46,46,15.22,127,107.87,0,0,2,13,3,Scotland
NS Poonia ,2007-2010,2007,2010,8,7,2,95,38*,38,19,108,87.96,0,0,2,3,1,Scotland
JH Stander ,2009-2012,2009,2012,11,11,2,94,45,45,10.44,90,104.44,0,0,3,6,4,Scotland
GM Hamilton ,2007-2010,2007,2010,12,8,0,90,32,32,11.25,110,81.81,0,0,0,6,1,Scotland
CD Wallace ,2012-2017,2012,2017,12,9,5,90,26*,26,22.5,79,113.92,0,0,0,9,0,Scotland
RML Taylor ,2013-2016,2013,2016,9,6,3,85,41*,41,28.33,58,146.55,0,0,0,6,4,Scotland
SM Sharif ,2012-2018,2012,2018,29,12,5,78,26,26,11.14,65,120,0,0,2,4,3,Scotland
NFI McCallum ,2007-2010,2007,2010,11,7,0,76,38,38,10.85,85,89.41,0,0,3,7,1,Scotland
RM Haq ,2007-2013,2007,2013,21,12,7,64,21*,21,12.8,96,66.66,0,0,1,2,1,Scotland
DE Budge ,2018-2018,2018,2018,6,4,2,60,24,24,30,59,101.69,0,0,0,2,3,Scotland
CJO Smith ,2007-2009,2007,2009,8,6,1,58,46*,46,11.6,54,107.4,0,0,3,6,0,Scotland
JH Davey ,2012-2017,2012,2017,14,7,2,55,24,24,11,43,127.9,0,0,0,3,2,Scotland
GD Drummond ,2008-2013,2008,2013,17,7,0,54,35,35,7.71,65,83.07,0,0,2,3,0,Scotland
MM Iqbal ,2012-2013,2012,2013,6,3,0,46,31,31,15.33,45,102.22,0,0,0,4,1,Scotland
R Flannigan ,2012-2012,2012,2012,4,4,1,38,18,18,12.66,33,115.15,0,0,1,4,0,Scotland
CD de Lange ,2015-2017,2015,2017,8,3,0,35,22,22,11.66,22,159.09,0,0,0,2,2,Scotland
D Murphy ,2013-2013,2013,2013,4,4,3,35,20,20,35,35,100,0,0,0,1,0,Scotland
JD Nel ,2007-2010,2007,2010,10,5,2,34,13*,13,11.33,25,136,0,0,1,3,1,Scotland
MRJ Watt ,2015-2018,2015,2018,23,7,3,32,11*,11,8,23,139.13,0,0,1,3,1,Scotland
G Goudie ,2010-2013,2010,2013,9,6,2,25,9*,9,6.25,20,125,0,0,0,2,1,Scotland
SJS Smith ,2010-2012,2010,2012,5,4,1,21,9,9,7,40,52.5,0,0,1,1,0,Scotland
CM Wright ,2007-2009,2007,2009,3,1,0,14,14,14,14,18,77.77,0,0,0,0,0,Scotland
FRJ Coleman ,2013-2013,2013,2013,1,1,0,9,9,9,9,13,69.23,0,0,0,1,0,Scotland
GA Rogers ,2008-2009,2008,2009,2,2,2,7,6*,6,-,8,87.5,0,0,0,0,0,Scotland
JAR Blain ,2007-2008,2007,2008,6,3,1,4,3*,3,2,5,80,0,0,1,0,0,Scotland
NM Carter ,2013-2013,2013,2013,7,2,0,4,3,3,2,12,33.33,0,0,0,0,0,Scotland
RT Lyons ,2010-2010,2010,2010,2,2,0,4,4,4,2,17,23.52,0,0,1,0,0,Scotland
CB Sole ,2017-2018,2017,2018,4,1,1,4,4*,4,-,2,200,0,0,0,1,0,Scotland
BTJ Wheal ,2016-2017,2016,2017,5,2,2,2,2*,2,-,2,100,0,0,0,0,0,Scotland
DR Brown ,2007-2007,2007,2007,2,1,0,1,1,1,1,5,20,0,0,0,0,0,Scotland
AC Evans ,2015-2018,2015,2018,16,5,1,1,1*,1,0.25,10,10,0,0,4,0,0,Scotland
I Wardlaw ,2013-2013,2013,2013,4,1,0,1,1,1,1,3,33.33,0,0,0,0,0,Scotland
GI Maiden ,2008-2008,2008,2008,3,1,0,0,0,0,0,1,0,0,0,1,0,0,Scotland
CG Burnett ,2013-2013,2013,2013,1,-,-,-,-,-,-,-,-,-,-,-,-,-,Scotland
Hamza Tahir ,2018-2018,2018,2018,3,-,-,-,-,-,-,-,-,-,-,-,-,-,Scotland
GT Main ,2015-2016,2015,2016,4,-,-,-,-,-,-,-,-,-,-,-,-,-,Scotland
MA Parker ,2012-2012,2012,2012,2,-,-,-,-,-,-,-,-,-,-,-,-,-,Scotland
SG Whittingham ,2018-2018,2018,2018,3,-,-,-,-,-,-,-,-,-,-,-,-,-,Scotland
Zeeshan Maqsood ,N/A,N/A,N/A,16,15,0,368,52,52,24.53,315,116.82,0,1,2,49,8,Oman
Adnan Ilyas ,N/A,N/A,N/A,12,11,0,258,54,54,23.45,218,118.34,0,1,0,16,8,Oman
Khawar Ali ,N/A,N/A,N/A,14,13,0,214,38,38,16.46,241,88.79,0,0,0,23,5,Oman
Jatinder Singh ,N/A,N/A,N/A,11,11,0,200,42,42,18.18,221,90.49,0,0,0,16,1,Oman
Aamir Kaleem ,N/A,N/A,N/A,11,10,2,161,46*,46,20.12,143,112.58,0,0,2,15,3,Oman
Aqib Ilyas ,N/A,N/A,N/A,9,9,2,129,56*,56,18.42,110,117.27,0,1,0,19,2,Oman
Sultan Ahmed ,N/A,N/A,N/A,17,12,3,104,37*,37,11.55,83,125.3,0,0,3,14,0,Oman
Amir Ali ,N/A,N/A,N/A,10,8,3,97,32*,32,19.4,65,149.23,0,0,0,11,2,Oman
AV Lalcheta ,N/A,N/A,N/A,14,8,2,87,20,20,14.5,66,131.81,0,0,0,9,3,Oman
Mehran Khan ,N/A,N/A,N/A,13,9,2,79,28*,28,11.28,74,106.75,0,0,0,4,4,Oman
Khurram Nawaz ,N/A,N/A,N/A,4,4,2,78,26*,26,39,69,113.04,0,0,0,4,3,Oman
Zeeshan Siddiqui ,N/A,N/A,N/A,5,5,1,60,33*,33,15,63,95.23,0,0,0,7,0,Oman
Naseem Khushi ,N/A,N/A,N/A,4,3,0,54,29,29,18,37,145.94,0,0,1,2,4,Oman
Mohammad Nadeem ,N/A,N/A,N/A,6,4,0,21,7,7,5.25,20,105,0,0,0,2,0,Oman
VS Wategaonkar ,N/A,N/A,N/A,2,1,0,14,14,14,14,14,100,0,0,0,1,0,Oman
Sufyan Mehmood ,N/A,N/A,N/A,2,1,1,13,13*,13,-,32,40.62,0,0,0,2,0,Oman
A Poulose ,N/A,N/A,N/A,3,3,0,9,9,9,3,14,64.28,0,0,2,2,0,Oman
M Ansari ,N/A,N/A,N/A,11,4,4,5,3*,3,-,10,50,0,0,0,0,0,Oman
Bilal Khan ,N/A,N/A,N/A,16,4,3,5,4*,4,5,5,100,0,0,1,1,0,Oman
RJ Ranpura ,N/A,N/A,N/A,3,2,2,5,5*,5,-,8,62.5,0,0,0,0,0,Oman
Kaleemullah ,N/A,N/A,N/A,4,1,0,0,0,0,0,1,0,0,0,1,0,0,Oman
Mohammad Shahzad ,2010-2018,2010,2018,65,65,3,1936,118*,118,31.22,1436,134.81,1,12,3,218,72,Afghanistan
Asghar Afghan ,2010-2018,2010,2018,56,51,4,1031,62,62,21.93,966,106.72,0,3,2,60,52,Afghanistan
Mohammad Nabi ,2010-2018,2010,2018,65,60,9,1014,89,89,19.88,719,141.02,0,2,4,66,56,Afghanistan
Samiullah Shinwari ,2010-2018,2010,2018,60,54,10,968,61,61,22,810,119.5,0,2,2,70,37,Afghanistan
Najibullah Zadran ,2012-2018,2012,2018,47,38,14,711,60*,60,29.62,496,143.34,0,2,1,46,37,Afghanistan
Karim Sadiq ,2010-2018,2010,2018,36,36,0,538,72,72,14.94,493,109.12,0,1,4,61,10,Afghanistan
Noor Ali Zadran ,2010-2017,2010,2017,20,20,1,506,63,63,26.63,497,101.81,0,3,1,45,6,Afghanistan
Nawroz Mangal ,2010-2017,2010,2017,32,32,4,505,65*,65,18.03,453,111.47,0,2,4,42,19,Afghanistan
Shafiqullah ,2010-2018,2010,2018,41,38,11,436,51*,51,16.14,300,145.33,0,1,5,31,27,Afghanistan
Gulbadin Naib ,2012-2018,2012,2018,38,31,9,432,56*,56,19.63,357,121,0,1,2,31,20,Afghanistan
Usman Ghani ,2015-2018,2015,2018,17,17,1,359,69,69,22.43,350,102.57,0,2,0,35,9,Afghanistan
Najeeb Tarakai ,2014-2017,2014,2017,9,9,0,216,90,90,24,166,130.12,0,1,1,19,10,Afghanistan
Hazratullah Zazai ,2016-2018,2016,2018,3,3,0,174,82,82,58,111,156.75,0,2,0,15,13,Afghanistan
Mirwais Ashraf ,2010-2016,2010,2016,25,19,8,128,28*,28,11.63,115,111.3,0,0,2,5,8,Afghanistan
Karim Janat ,2016-2018,2016,2018,14,8,1,109,25,25,15.57,103,105.82,0,0,1,6,6,Afghanistan
Rashid Khan ,2015-2018,2015,2018,34,15,7,107,33,33,13.37,85,125.88,0,0,3,8,7,Afghanistan
Raees Ahmadzai ,2010-2010,2010,2010,8,6,3,91,33*,33,30.33,84,108.33,0,0,0,5,1,Afghanistan
Dawlat Zadran ,2012-2017,2012,2017,33,16,7,68,13,13,7.55,42,161.9,0,0,3,4,6,Afghanistan
Hamid Hassan ,2010-2016,2010,2016,22,9,6,50,22,22,16.66,46,108.69,0,0,0,3,2,Afghanistan
Amir Hamza ,2013-2017,2013,2017,31,9,5,40,21,21,10,38,105.26,0,0,1,3,1,Afghanistan
Shapoor Zadran ,2010-2018,2010,2018,34,13,6,27,13,13,3.85,65,41.53,0,0,3,0,3,Afghanistan
Sharafuddin Ashraf ,2015-2018,2015,2018,6,2,0,19,18,18,9.5,18,105.55,0,0,0,1,1,Afghanistan
Shabir Noori ,2012-2012,2012,2012,1,1,0,15,15,15,15,18,83.33,0,0,0,1,0,Afghanistan
Afsar Zazai ,2013-2013,2013,2013,1,1,0,9,9,9,9,21,42.85,0,0,0,0,0,Afghanistan
Javed Ahmadi ,2012-2017,2012,2017,3,2,0,6,6,6,3,7,85.71,0,0,1,1,0,Afghanistan
Aftab Alam ,2012-2018,2012,2018,12,5,3,2,1*,1,1,9,22.22,0,0,1,0,0,Afghanistan
Dawlat Ahmadzai ,2010-2010,2010,2010,2,1,1,2,2*,2,-,3,66.66,0,0,0,0,0,Afghanistan
Hashmatullah Shahidi ,2013-2013,2013,2013,1,1,1,1,1*,1,-,1,100,0,0,0,0,0,Afghanistan
M Nasim Baras ,2015-2015,2015,2015,3,1,0,1,1,1,1,2,50,0,0,0,0,0,Afghanistan
Sayed Shirzad ,2015-2016,2015,2016,3,1,0,1,1,1,1,2,50,0,0,0,0,0,Afghanistan
Yamin Ahmadzai ,2015-2015,2015,2015,2,1,1,1,1*,1,-,1,100,0,0,0,0,0,Afghanistan
Izatullah Dawlatzai ,2012-2012,2012,2012,4,1,1,0,0*,0,-,3,0,0,0,0,0,0,Afghanistan
Mujeeb Ur Rahman ,2018-2018,2018,2018,7,2,2,0,0*,0,-,0,-,0,0,0,0,0,Afghanistan
Fareed Ahmad ,2016-2018,2016,2018,9,-,-,-,-,-,-,-,-,-,-,-,-,-,Afghanistan
Rokhan Barakzai ,2015-2015,2015,2015,3,-,-,-,-,-,-,-,-,-,-,-,-,-,Afghanistan
Zamir Khan ,2012-2012,2012,2012,1,-,-,-,-,-,-,-,-,-,-,-,-,-,Afghanistan